iter	RMSE
0	1.109370688
1	1.022305479
2	0.9319647802
3	0.8630285168
4	0.8252490024
5	0.7948725176
6	0.7640948335
7	0.7485497267
8	0.7345106308
9	0.7251122602
10	0.7052425871
11	0.695621405
12	0.6896242194
13	0.6832271704
14	0.6768174123
15	0.6546535925
16	0.6439759454
17	0.63787405
18	0.6244107681
19	0.6200374872
20	20	0.5439446521	21	0.5356489685
22	0.5290613236
23	0.5189402867
24	0.5143100655
25	0.5105646165
26	0.5040338365
27	0.4930221304
28	0.4884959283
29	0.4778509889
30	0.4707132878
31	0.4667068748
32	0.4594002182
33	0.4552680141
34	0.4479748251
35	0.4429661419
36	0.43765994
37	0.432012275
38	0.4269776103
39	0.4177172562
40	0.414349197
41	0.4091113031
42	0.4072295627
43	0.4033229743
44	0.3989493223
45	0.3939381186
46	0.3885442106
47	0.3830109514
48	0.380027875
49	0.3739790982
50	0.3660413954
51	0.3636324748
52	0.3598240353
53	0.3578577733
54	0.3558186776
55	0.3522201532
56	0.3490456078
57	0.3454349537
58	0.3411779939
59	0.3377248524
60	0.3356690476
61	0.3323954128
62	0.3264776947
63	0.3239826449
64	0.3201331709
65	0.3168994805
66	0.3116692889
67	0.3093987624
68	0.3047885069
69	0.3032424745
70	0.3029025267
71	0.2996695793
72	0.2968316114
73	0.2960395013
74	0.2940191911
75	0.2909324258
76	0.2890641362
77	0.2871400868
78	0.2837782307
79	0.2810934179
80	0.2782041576
81	0.2759621386
82	0.2719308909
83	0.268584637
84	0.2663802667
85	0.2646060797
86	0.2631387368
87	0.2607140634
88	0.2596977105
89	0.2580030221
90	0.2578309218
91	0.2538751306
92	0.2537233224
93	0.2526342871
94	0.2513461325
95	0.2493885588
96	0.2458672495
97	0.2448479808
98	0.2421438313
99	0.2397286818
